target_id,decision,reason,requested_group_id,reviewer,decision_date,note
aadr-britain-steppe-england-bellbeaker,retain_with_caveat,All 28 selected samples have in-range qpAdm steppe fractions and usable standard errors in the current external table; retain for exploratory comparison pending independent qpAdm review,England_BellBeaker,Codex,2026-06-11,Retained in current decision-aware comparison; not a calibrated inference target
aadr-britain-steppe-england-bellbeaker-o,retain_with_caveat,All 2 selected samples have in-range qpAdm steppe fractions and usable standard errors in the current external table; retain for exploratory comparison pending independent qpAdm review,England_BellBeaker-o,Codex,2026-06-11,Retained in current decision-aware comparison; not a calibrated inference target
aadr-britain-steppe-england-bellbeaker-ohigheef,rerun_qpadm,All 3 selected samples have qpAdm steppe fractions outside 0-1 in the current external table; rerun qpAdm before fitting this target,England_BellBeaker-ohighEEF,Codex,2026-06-11,Invalid qpAdm point estimates prevent a complete target observation
aadr-britain-steppe-england-bellbeaker-ohighwhg,rerun_qpadm,All 3 selected samples have qpAdm steppe fractions outside 0-1 in the current external table; rerun qpAdm before fitting this target,England_BellBeaker-ohighWHG,Codex,2026-06-11,Invalid qpAdm point estimates prevent a complete target observation
aadr-britain-steppe-england-bellbeaker-oloweef,rerun_qpadm,All 7 selected samples have qpAdm steppe fractions outside 0-1 in the current external table; rerun qpAdm before fitting this target,England_BellBeaker-olowEEF,Codex,2026-06-11,Invalid qpAdm point estimates prevent a complete target observation
aadr-britain-steppe-england-bellbeaker-mediumeef-omediumeef,rerun_qpadm,All 2 selected samples have qpAdm steppe fractions outside 0-1 in the current external table; rerun qpAdm before fitting this target,England_BellBeaker_mediumEEF-omediumEEF,Codex,2026-06-11,Invalid qpAdm point estimates prevent a complete target observation
aadr-britain-steppe-scotland-bellbeaker,rerun_qpadm,All 2 selected samples have qpAdm steppe fractions outside 0-1 in the current external table; rerun qpAdm before fitting this target,Scotland_BellBeaker,Codex,2026-06-11,Invalid qpAdm point estimates prevent a complete target observation
aadr-central-europe-steppe-czechia-ba-bellbeaker,rerun_qpadm,All 11 selected samples have qpAdm steppe fractions outside 0-1 in the current external table; rerun qpAdm before fitting this target,Czechia_BA_BellBeaker,Codex,2026-06-11,Invalid qpAdm point estimates prevent a complete target observation
aadr-central-europe-steppe-czechia-bellbeaker,rerun_qpadm,All 61 selected samples have qpAdm steppe fractions outside 0-1 in the current external table; rerun qpAdm before fitting this target,Czechia_BellBeaker,Codex,2026-06-11,Invalid qpAdm point estimates prevent a complete target observation
aadr-central-europe-steppe-czechia-bellbeaker-oanatolia2,rerun_qpadm,All 3 selected samples have qpAdm steppe fractions outside 0-1 in the current external table; rerun qpAdm before fitting this target,Czechia_BellBeaker-oAnatolia2,Codex,2026-06-11,Invalid qpAdm point estimates prevent a complete target observation
aadr-central-europe-steppe-czechia-bellbeaker-osteppe,retain_with_caveat,All 2 selected samples have in-range qpAdm steppe fractions and usable standard errors in the current external table; retain for exploratory comparison pending independent qpAdm review,Czechia_BellBeaker-oSteppe,Codex,2026-06-11,Retained in current decision-aware comparison; not a calibrated inference target
aadr-central-europe-steppe-czechia-eba-cordedware,rerun_qpadm,All 48 selected samples have qpAdm steppe fractions outside 0-1 in the current external table; rerun qpAdm before fitting this target,Czechia_EBA_CordedWare,Codex,2026-06-11,Invalid qpAdm point estimates prevent a complete target observation
aadr-central-europe-steppe-czechia-eba-cordedware-2,retain_with_caveat,All 2 selected samples have in-range qpAdm steppe fractions and usable standard errors in the current external table; retain for exploratory comparison pending independent qpAdm review,Czechia_EBA_CordedWare-2,Codex,2026-06-11,Retained in current decision-aware comparison; not a calibrated inference target
aadr-central-europe-steppe-france-grandest-bellbeaker,rerun_qpadm,All 2 selected samples have qpAdm steppe fractions outside 0-1 in the current external table; rerun qpAdm before fitting this target,France_GrandEst_BellBeaker,Codex,2026-06-11,Invalid qpAdm point estimates prevent a complete target observation
aadr-central-europe-steppe-france-grandest-hautrhin-bellbeaker,rerun_qpadm,All 3 selected samples have qpAdm steppe fractions outside 0-1 in the current external table; rerun qpAdm before fitting this target,France_GrandEst_HautRhin_BellBeaker,Codex,2026-06-11,Invalid qpAdm point estimates prevent a complete target observation
aadr-central-europe-steppe-germany-althausen-cordedware,rerun_qpadm,All 4 selected samples have qpAdm steppe fractions outside 0-1 in the current external table; rerun qpAdm before fitting this target,Germany_Althausen_CordedWare,Codex,2026-06-11,Invalid qpAdm point estimates prevent a complete target observation
aadr-central-europe-steppe-germany-augsburghugoeckenerstrasse-bellbeaker,rerun_qpadm,All 13 selected samples have qpAdm steppe fractions outside 0-1 in the current external table; rerun qpAdm before fitting this target,Germany_AugsburgHugoEckenerStrasse_BellBeaker,Codex,2026-06-11,Invalid qpAdm point estimates prevent a complete target observation
aadr-central-europe-steppe-germany-augsburghugoeckenerstrasse-bellbeaker-oeef,retain_with_caveat,All 2 selected samples have in-range qpAdm steppe fractions and usable standard errors in the current external table; retain for exploratory comparison pending independent qpAdm review,Germany_AugsburgHugoEckenerStrasse_BellBeaker-oEEF,Codex,2026-06-11,Retained in current decision-aware comparison; not a calibrated inference target
aadr-central-europe-steppe-germany-benzingerodeheimburg-bellbeaker,rerun_qpadm,All 2 selected samples have qpAdm steppe fractions outside 0-1 in the current external table; rerun qpAdm before fitting this target,Germany_BenzingerodeHeimburg_BellBeaker,Codex,2026-06-11,Invalid qpAdm point estimates prevent a complete target observation
aadr-central-europe-steppe-germany-dgflan-bellbeaker,rerun_qpadm,All 4 selected samples have qpAdm steppe fractions outside 0-1 in the current external table; rerun qpAdm before fitting this target,Germany_DGFLan_BellBeaker,Codex,2026-06-11,Invalid qpAdm point estimates prevent a complete target observation
aadr-central-europe-steppe-germany-dingolfinglandau-bellbeaker,retain_with_caveat,All 2 selected samples have in-range qpAdm steppe fractions and usable standard errors in the current external table; retain for exploratory comparison pending independent qpAdm review,Germany_DingolfingLandau_BellBeaker,Codex,2026-06-11,Retained in current decision-aware comparison; not a calibrated inference target
aadr-central-europe-steppe-germany-esperstedt-cordedware,rerun_qpadm,All 13 selected samples have qpAdm steppe fractions outside 0-1 in the current external table; rerun qpAdm before fitting this target,Germany_Esperstedt_CordedWare,Codex,2026-06-11,Invalid qpAdm point estimates prevent a complete target observation
aadr-central-europe-steppe-germany-haunstettenunterertalweg5862-bellbeaker,rerun_qpadm,All 3 selected samples have qpAdm steppe fractions outside 0-1 in the current external table; rerun qpAdm before fitting this target,Germany_HaunstettenUntererTalweg5862_BellBeaker,Codex,2026-06-11,Invalid qpAdm point estimates prevent a complete target observation
aadr-central-europe-steppe-germany-haunstettenunterertalweg851-bellbeaker,retain_with_caveat,All 2 selected samples have in-range qpAdm steppe fractions and usable standard errors in the current external table; retain for exploratory comparison pending independent qpAdm review,Germany_HaunstettenUntererTalweg851_BellBeaker,Codex,2026-06-11,Retained in current decision-aware comparison; not a calibrated inference target
aadr-central-europe-steppe-germany-irlbachlkr-bellbeaker,rerun_qpadm,All 17 selected samples have qpAdm steppe fractions outside 0-1 in the current external table; rerun qpAdm before fitting this target,Germany_IrlbachLKR_BellBeaker,Codex,2026-06-11,Invalid qpAdm point estimates prevent a complete target observation
aadr-central-europe-steppe-germany-konigsbrunnampack-bellbeaker,rerun_qpadm,All 2 selected samples have qpAdm steppe fractions outside 0-1 in the current external table; rerun qpAdm before fitting this target,Germany_KonigsbrunnAmpack_BellBeaker,Codex,2026-06-11,Invalid qpAdm point estimates prevent a complete target observation
aadr-central-europe-steppe-germany-kunzingbruck-bellbeaker,rerun_qpadm,All 3 selected samples have qpAdm steppe fractions outside 0-1 in the current external table; rerun qpAdm before fitting this target,Germany_KunzingBruck_BellBeaker,Codex,2026-06-11,Invalid qpAdm point estimates prevent a complete target observation
aadr-central-europe-steppe-germany-manchingoberstimm-bellbeaker,rerun_qpadm,All 2 selected samples have qpAdm steppe fractions outside 0-1 in the current external table; rerun qpAdm before fitting this target,Germany_ManchingOberstimm_BellBeaker,Codex,2026-06-11,Invalid qpAdm point estimates prevent a complete target observation
aadr-central-europe-steppe-germany-osterhofenaltenmarkt-bellbeaker,rerun_qpadm,All 6 selected samples have qpAdm standard errors outside 0-1 in the current external table; rerun qpAdm uncertainty output before fitting this target,Germany_OsterhofenAltenmarkt_BellBeaker,Codex,2026-06-11,Invalid qpAdm uncertainty estimates prevent a complete target observation
aadr-central-europe-steppe-germany-quedlinburg12-bellbeaker,rerun_qpadm,All 3 selected samples have qpAdm steppe fractions outside 0-1 in the current external table; rerun qpAdm before fitting this target,Germany_Quedlinburg12_BellBeaker,Codex,2026-06-11,Invalid qpAdm point estimates prevent a complete target observation
aadr-central-europe-steppe-germany-quedlinburg7-bellbeaker,rerun_qpadm,All 2 selected samples have qpAdm steppe fractions outside 0-1 in the current external table; rerun qpAdm before fitting this target,Germany_Quedlinburg7_BellBeaker,Codex,2026-06-11,Invalid qpAdm point estimates prevent a complete target observation
aadr-central-europe-steppe-germany-rothenschirmbach-bellbeaker,rerun_qpadm,All 5 selected samples have qpAdm steppe fractions outside 0-1 in the current external table; rerun qpAdm before fitting this target,Germany_Rothenschirmbach_BellBeaker,Codex,2026-06-11,Invalid qpAdm point estimates prevent a complete target observation
aadr-central-europe-steppe-germany-stkrstraubing-bellbeaker,rerun_qpadm,Audit found identical replicated qpAdm estimate standard error and p-value across all 12 samples; rerun or inspect source outgroups and table granularity before fitting,Germany_StkrStraubing_BellBeaker,Codex,2026-06-11,Exclude from comparison targets until qpAdm evidence is resolved
aadr-central-europe-steppe-germany-tiefbrunn-cordedware-1,retain_with_caveat,All 2 selected samples have in-range qpAdm steppe fractions and usable standard errors in the current external table; retain for exploratory comparison pending independent qpAdm review,Germany_Tiefbrunn_CordedWare-1,Codex,2026-06-11,Retained in current decision-aware comparison; not a calibrated inference target
aadr-central-europe-steppe-germany-weichering-bellbeaker,retain_with_caveat,All 4 selected samples have in-range qpAdm steppe fractions and usable standard errors in the current external table; retain for exploratory comparison pending independent qpAdm review,Germany_Weichering_BellBeaker,Codex,2026-06-11,Retained in current decision-aware comparison; not a calibrated inference target
aadr-central-europe-steppe-poland-bellbeaker,rerun_qpadm,All 14 selected samples have qpAdm steppe fractions outside 0-1 in the current external table; rerun qpAdm before fitting this target,Poland_BellBeaker,Codex,2026-06-11,Invalid qpAdm point estimates prevent a complete target observation
aadr-central-europe-steppe-poland-cordedware-1,retain_with_caveat,All 2 selected samples have in-range qpAdm steppe fractions and usable standard errors in the current external table; retain for exploratory comparison pending independent qpAdm review,Poland_CordedWare-1,Codex,2026-06-11,Retained in current decision-aware comparison; not a calibrated inference target
aadr-central-europe-steppe-poland-cordedware-3,retain_with_caveat,All 3 selected samples have in-range qpAdm steppe fractions and usable standard errors in the current external table; retain for exploratory comparison pending independent qpAdm review,Poland_CordedWare-3,Codex,2026-06-11,Retained in current decision-aware comparison; not a calibrated inference target
